iter	Passed	Remaining
900	15927	1750
901	15940	1731
902	15956	1714
903	15975	1696
904	15986	1678
905	16001	1660
906	16015	1642
907	16029	1624
908	16045	1606
909	16056	1588
910	16078	1570
911	16089	1552
912	16111	1535
913	16122	1516
914	16143	1499
915	16157	1481
916	16176	1464
917	16189	1446
918	16209	1428
919	16224	1410
920	16236	1392
921	16248	1374
922	16258	1356
923	16272	1338
924	16291	1320
925	16308	1303
926	16324	1285
927	16339	1267
928	16351	1249
929	16364	1231
930	16377	1213
931	16394	1196
932	16408	1178
933	16418	1160
934	16438	1142
935	16451	1124
936	16464	1107
937	16476	1089
938	16497	1071
939	16508	1053
940	16520	1035
941	16533	1017
942	16546	1000
943	16566	982
944	16578	964
945	16599	947
946	16611	929
947	16623	911
948	16640	894
949	16666	877
950	16682	859
951	16696	841
952	16708	824
953	16736	807
954	16762	789
955	16780	772
956	16801	754
957	16815	737
958	16828	719
959	16844	701
960	16860	684
961	16874	666
962	16895	649
963	16909	631
964	16922	613
965	16934	596
966	16953	578
967	16969	560
968	16981	543
969	16991	525
970	17001	507
971	17011	490
972	17020	472
973	17040	454
974	17056	437
975	17065	419
976	17074	401
977	17084	384
978	17095	366
979	17110	349
980	17123	331
981	17134	314
982	17152	296
983	17163	279
984	17176	261
985	17186	244
986	17202	226
987	17213	209
988	17224	191
989	17237	174
990	17250	156
991	17260	139
992	17273	121
993	17283	104
994	17293	86
995	17305	69
996	17315	52
997	17326	34
998	17341	17
999	17356	0
